country,2010年,2011年,2012年,2013年,2014年,2015年,2016年
IDA only,46.99994529,48.55593646,49.17122679,49.25216948,47.98659757,62.36221927,63.46949527
IDA total,47.93086253,49.52990218,49.5753169,49.30017381,47.84444936,68.62731784,70.42785816
Iceland,7.825275273,7.726058355,7.666083737,7.612809419,7.70742701,7.328427794,7.29839004
India,64.6018316,63.86713075,66.06940362,68.95144345,71.6126213,75.58285651,75.80079116
Indonesia,14.48777295,14.83012943,14.9313054,15.55720964,15.22209,16.66132887,16.74598218
Iran,48.09895954,46.63054868,45.37709499,44.7825929,43.6716967,48.62328795,48.95476643
Iraq,90.64910085,83.90684401,78.5580789,66.25433245,58.86071758,72.28199895,73.25872705
Ireland,9.300440639,9.337308141,9.570871974,9.618334486,9.709258896,9.188586923,9.168633218
Israel,17.85970443,17.58477089,17.76826385,18.708741,19.70924373,18.76107386,18.6846113
Italy,14.65365787,14.38544874,14.56317325,16.64526049,17.90856333,15.6038313,15.48360452
Jamaica,13.66214002,14.39382648,15.6580613,17.04800504,16.79429168,15.12454409,15.07163593
Japan,12.3396445,11.78769301,11.97395136,12.40134558,12.88270204,13.14884605,13.15839601
Jordan,36.03160521,34.77712659,34.64811225,35.45866731,37.0992709,37.25146683,37.21426017
Kazakhstan,16.88057431,17.19136369,18.16313295,18.29790032,19.16547877,19.62140375,19.65590442
Kenya,15.05463734,16.11074162,16.65150096,16.72335939,16.52198912,16.27427954,16.29493079
Kiribati,3.4420423,3.366325147,3.29089287,3.290815768,3.40083002,4.050094212,4.08635963
Kuwait,104.6374775,102.6828338,103.7015762,87.17466011,76.9328313,109.0799096,110.9572166
Kyrgyzstan,15.87360177,15.84163591,16.1688653,15.95097184,16.76414647,17.82394854,17.91030372
Laos,28.02978927,28.62081501,28.97799878,30.86139418,31.06990721,27.90868457,27.67258925
Late-demographic dividend,43.369909,42.71320727,42.79883885,42.63107391,43.34866923,42.74563079,42.72356042
Latin America & Caribbean,17.20849436,17.83017063,18.26348112,18.29834038,17.88566983,17.73414894,17.76621948
Latin America & Caribbean (IDA & IBRD),17.24519639,17.88218778,18.26920741,18.29240864,17.89365626,17.74283187,17.77749
Latin America & Caribbean (excluding high income),17.40946742,18.14306209,18.59112497,18.66582132,18.2174875,17.93858888,17.97075393
Latvia,18.37391687,17.83306993,16.11371497,18.33503131,19.27471352,14.83109746,14.58800713
Least developed countries: UN classification,48.22638789,49.80713883,50.35987511,50.64611237,49.38992049,63.29824204,64.34249463
Lebanon,28.43571762,27.60849514,27.13062785,28.87060247,30.4874614,32.38107828,32.5648296
Lesotho,22.4266791,22.16087088,22.2083546,22.99219851,23.59353009,26.45949794,26.91822469
Liberia,9.573018432,10.68294058,11.18637144,10.08366574,8.988467195,16.7520359,17.33233534
Libya,67.4866563,60.90548243,58.40124824,64.02403741,70.85585708,64.42572907,63.71676049
Lithuania,18.77787061,18.69257015,16.8817909,18.5025538,18.91473755,16.79026435,16.71785779
Low & middle income,47.08427433,47.04397403,47.53994787,48.17158093,48.69272646,55.08590768,55.67642413
Low income,39.92547769,41.84844148,42.30843982,41.49798594,40.32689473,55.55797199,56.89226871
Lower middle income,52.65260665,52.71368875,53.65255997,55.38216754,56.29303089,66.41241488,67.26213815
Luxembourg,16.39543247,16.38822631,16.13481345,16.32935393,16.53551896,16.09981017,16.09727607
Macedonia,34.624971,35.00217644,34.102011,36.52357284,38.42067801,32.26825562,31.92141254
Madagascar,17.30303238,17.23682669,18.17198277,18.3703475,19.13997469,21.37734361,21.47496474
Malawi,26.57697227,27.80054692,27.8193108,27.5908721,26.52151381,28.14745929,28.25982321
Malaysia,15.25899256,15.4284252,15.60522346,16.0614619,15.52523098,17.46735394,17.60771452
Maldives,24.95096346,24.80038521,25.86270859,27.22737346,28.68748068,26.77585219,26.86188561
Mali,60.13399067,64.97188686,57.50904969,53.48736921,48.01233926,88.60765606,92.21011675
Malta,14.60300658,13.45396388,12.62667328,13.59972996,14.46449159,12.31965894,12.14084395
Marshall Islands,9.818425412,10.18995832,10.2983498,9.989903722,10.45563963,10.74196537,11.08607034
Mauritania,74.57836522,79.6210853,79.95637703,83.88976969,82.44317812,121.2563791,123.6345844
Mauritius,13.69960924,13.6939576,14.14135542,14.46475986,14.69609681,14.43773911,14.46305346
Mexico,20.24498259,20.5489458,21.6112243,20.75377098,20.45820491,18.90809872,18.82910389
Micronesia (country),7.194825282,6.861860026,7.052250773,7.42155694,7.276691448,8.50110507,8.667210756
Middle East & North Africa,61.83969008,60.83703028,61.10465376,61.00537857,60.71335296,76.61627467,77.68312942
Middle East & North Africa (IDA & IBRD),56.82539768,55.58399951,55.2194905,56.16965733,56.86785036,67.98453713,68.66437041
Middle East & North Africa (excluding high income),56.38722675,55.15003344,54.78528433,55.7288907,56.42483531,67.39456808,68.05830183
Middle income,47.94035637,47.67435889,48.17915694,48.99838775,49.74370269,55.02576047,55.51928024
Moldova,20.63694454,21.20365392,20.97963245,20.65795856,20.59364065,20.0195119,19.94321337
Mongolia,20.2654464,20.34525967,21.64224935,22.23737365,22.93980543,29.18883961,29.68500129
Montenegro,21.25855141,21.09495414,20.73735725,21.93520348,22.60214939,20.47690348,20.35568996
Morocco,19.78133786,19.00413626,18.68418844,19.95759401,21.38878041,25.2243101,25.41198462
Mozambique,19.68915761,20.02058999,20.10015902,19.946891,19.7598785,20.9257274,20.98722687
Myanmar,45.83416678,45.92249515,48.22689036,51.11291316,52.42839285,49.0184174,48.81135881
Namibia,22.7214165,22.76251873,22.69399796,21.87600613,21.77826392,25.59247971,25.89244374
Nepal,62.60810996,63.39964615,64.68737621,70.22741152,71.62343624,77.90664552,78.49713349
